database,schema,table,physical_name,logical_name,physical_type,nullable,default,primary_key,unique,reference,lgpd,classification_basis,encryption,masking,retention,status,evidence
sqlite_contract_store,local_contract,audit_events,action,Action,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,audit_events,resource_type,Resource type,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,audit_events,resource_id,Resource id,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,audit_events,correlation_id,Correlation id,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,audit_events,before_data,Before data,TEXT,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,audit_events,after_data,After data,TEXT,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,audit_events,changed_fields,Changed fields,TEXT,False,'[]',False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,audit_events,event,Event,TEXT,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,audit_events,log_type,Log type,TEXT,False,'audit',False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,audit_events,origin,Origin,TEXT,False,'backend',False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,audit_events,channel,Channel,TEXT,False,'api',False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,audit_events,occurred_at,Occurred at,TEXT,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,audit_events,result,Result,TEXT,False,'success',False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,audit_events,exported,Exported,INTEGER,False,0,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,audit_events,printed,Printed,INTEGER,False,0,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,audit_events,shared,Shared,INTEGER,False,0,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,audit_events,retention_until,Retention until,TEXT,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,audit_events,previous_hash,Previous hash,TEXT,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,audit_events,row_hash,Row hash,TEXT,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,audit_events,metadata,Metadata,TEXT,False,'{}',False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,audit_events,created_at,Created at,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,domain_events,id,Id,TEXT,False,,True,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:106
sqlite_contract_store,local_contract,domain_events,module,Module,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:106
sqlite_contract_store,local_contract,domain_events,routing_key,Routing key,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:106
sqlite_contract_store,local_contract,domain_events,user_id,User id,TEXT,False,,False,False,,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: user_id,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,existente,modules/shared/store.py:106
sqlite_contract_store,local_contract,domain_events,resource_type,Resource type,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:106
sqlite_contract_store,local_contract,domain_events,resource_id,Resource id,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:106
sqlite_contract_store,local_contract,domain_events,actor_user_id,Actor user id,TEXT,False,,False,False,,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: user_id,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,existente,modules/shared/store.py:106
sqlite_contract_store,local_contract,domain_events,correlation_id,Correlation id,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:106
sqlite_contract_store,local_contract,domain_events,payload,Payload,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:106
sqlite_contract_store,local_contract,domain_events,created_at,Created at,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:106
sqlite_contract_store,local_contract,domain_events,published_at,Published at,TEXT,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:106
