database,collection,field,bson_type,required,enum,sensitive_declared,lgpd,classification_basis,encryption,masking,retention,indexes,evidence
all_in_one,social_videos,commission_links,array,False,,False,financeiro confidencial,política v1 categoria financeiro; padrões: commission,obrigatória em trânsito e repouso,restringir por papel e finalidade; não registrar valor sensível desnecessário,"definir por obrigação contábil, fiscal e prevenção a fraude","[{""keys"": {""user_id"": 1, ""created_at"": -1}}]",database/mongodb/init/001_ai_social_telemetry.js:35
all_in_one,social_videos,moderation,object,False,,True,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,"[{""keys"": {""user_id"": 1, ""created_at"": -1}}]",database/mongodb/init/001_ai_social_telemetry.js:36
all_in_one,social_videos,views,long,False,,False,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,"[{""keys"": {""user_id"": 1, ""created_at"": -1}}]",database/mongodb/init/001_ai_social_telemetry.js:37
all_in_one,social_videos,likes,long,False,,False,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,"[{""keys"": {""user_id"": 1, ""created_at"": -1}}]",database/mongodb/init/001_ai_social_telemetry.js:38
all_in_one,social_videos,status,string,True,,False,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,"[{""keys"": {""user_id"": 1, ""created_at"": -1}}]",database/mongodb/init/001_ai_social_telemetry.js:39
all_in_one,social_videos,created_at,date,True,,False,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,"[{""keys"": {""user_id"": 1, ""created_at"": -1}}]",database/mongodb/init/001_ai_social_telemetry.js:40
all_in_one,influencer_metrics,user_id,string,True,,False,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: user_id,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,"[{""keys"": {""user_id"": 1, ""period"": 1}, ""options"": {""unique"": true}}]",database/mongodb/init/001_ai_social_telemetry.js:49
all_in_one,influencer_metrics,period,string,True,,False,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,"[{""keys"": {""user_id"": 1, ""period"": 1}, ""options"": {""unique"": true}}]",database/mongodb/init/001_ai_social_telemetry.js:50
all_in_one,influencer_metrics,clicks,long,False,,False,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,"[{""keys"": {""user_id"": 1, ""period"": 1}, ""options"": {""unique"": true}}]",database/mongodb/init/001_ai_social_telemetry.js:51
all_in_one,influencer_metrics,conversions,long,False,,False,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,"[{""keys"": {""user_id"": 1, ""period"": 1}, ""options"": {""unique"": true}}]",database/mongodb/init/001_ai_social_telemetry.js:52
all_in_one,influencer_metrics,commissions_brl,decimal,False,,True,financeiro confidencial,política v1 categoria financeiro; padrões: commission,obrigatória em trânsito e repouso,restringir por papel e finalidade; não registrar valor sensível desnecessário,"definir por obrigação contábil, fiscal e prevenção a fraude","[{""keys"": {""user_id"": 1, ""period"": 1}, ""options"": {""unique"": true}}]",database/mongodb/init/001_ai_social_telemetry.js:53
all_in_one,influencer_metrics,created_at,date,True,,False,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,"[{""keys"": {""user_id"": 1, ""period"": 1}, ""options"": {""unique"": true}}]",database/mongodb/init/001_ai_social_telemetry.js:54
all_in_one,telemetry_logs,user_id,string,True,,False,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: user_id,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,"[{""keys"": {""location"": ""2dsphere""}}, {""keys"": {""user_id"": 1, ""occurred_at"": -1}}, {""keys"": {""retention_until"": 1}, ""options"": {""expireAfterSeconds"": 0}}]",database/mongodb/init/001_ai_social_telemetry.js:63
all_in_one,telemetry_logs,source,object/complex,True,rider_gps;mobility_gps;vision_sensor;home_sensor;medical_device,False,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,"[{""keys"": {""location"": ""2dsphere""}}, {""keys"": {""user_id"": 1, ""occurred_at"": -1}}, {""keys"": {""retention_until"": 1}, ""options"": {""expireAfterSeconds"": 0}}]",database/mongodb/init/001_ai_social_telemetry.js:64
all_in_one,telemetry_logs,device_id,string,False,,True,dado pessoal,política v1 categoria contato_localizacao; padrões: device,criptografar quando associado a pessoa identificada ou rastreamento,"mascarar em logs, listagens e exportações não autorizadas",limitar à finalidade operacional e consentimento aplicável,"[{""keys"": {""location"": ""2dsphere""}}, {""keys"": {""user_id"": 1, ""occurred_at"": -1}}, {""keys"": {""retention_until"": 1}, ""options"": {""expireAfterSeconds"": 0}}]",database/mongodb/init/001_ai_social_telemetry.js:65
all_in_one,telemetry_logs,occurred_at,date,True,,False,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,"[{""keys"": {""location"": ""2dsphere""}}, {""keys"": {""user_id"": 1, ""occurred_at"": -1}}, {""keys"": {""retention_until"": 1}, ""options"": {""expireAfterSeconds"": 0}}]",database/mongodb/init/001_ai_social_telemetry.js:66
all_in_one,telemetry_logs,location,object/complex,False,,True,dado pessoal,política v1 categoria contato_localizacao; padrões: location,criptografar quando associado a pessoa identificada ou rastreamento,"mascarar em logs, listagens e exportações não autorizadas",limitar à finalidade operacional e consentimento aplicável,"[{""keys"": {""location"": ""2dsphere""}}, {""keys"": {""user_id"": 1, ""occurred_at"": -1}}, {""keys"": {""retention_until"": 1}, ""options"": {""expireAfterSeconds"": 0}}]",database/mongodb/init/001_ai_social_telemetry.js:67
all_in_one,telemetry_logs,payload,object,True,,True,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,"[{""keys"": {""location"": ""2dsphere""}}, {""keys"": {""user_id"": 1, ""occurred_at"": -1}}, {""keys"": {""retention_until"": 1}, ""options"": {""expireAfterSeconds"": 0}}]",database/mongodb/init/001_ai_social_telemetry.js:74
all_in_one,telemetry_logs,retention_until,date,False,,False,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,"[{""keys"": {""location"": ""2dsphere""}}, {""keys"": {""user_id"": 1, ""occurred_at"": -1}}, {""keys"": {""retention_until"": 1}, ""options"": {""expireAfterSeconds"": 0}}]",database/mongodb/init/001_ai_social_telemetry.js:75
