database,schema,table,physical_name,logical_name,physical_type,nullable,default,primary_key,unique,reference,lgpd,classification_basis,encryption,masking,retention,status,evidence
postgresql,identity,documents,created_at,Created at,TIMESTAMPTZ,False,NOW(),False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:75
postgresql,identity,documents,updated_at,Updated at,TIMESTAMPTZ,False,NOW(),False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:76
postgresql,identity,documents,deleted_at,Deleted at,TIMESTAMPTZ,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:77
postgresql,identity,documents,created_by,Created by,UUID,True,,False,False,identity.users.id,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: created_by,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,existente,database/postgres/migrations/001_identity_and_schemas.sql:78
postgresql,identity,documents,updated_by,Updated by,UUID,True,,False,False,identity.users.id,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: updated_by,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,existente,database/postgres/migrations/001_identity_and_schemas.sql:79
postgresql,identity,documents,idempotency_key,Idempotency key,VARCHAR(100),True,,False,True,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/008_identity_idempotency.sql:4
postgresql,identity,biometrics,id,Id,UUID,False,gen_random_uuid(),True,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:84
postgresql,identity,biometrics,user_id,User id,UUID,False,,False,True,identity.users.id,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: user_id,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,existente,database/postgres/migrations/001_identity_and_schemas.sql:85
postgresql,identity,biometrics,face_hash,Face hash,TEXT,False,,False,True,,dado pessoal sensível,política v1 categoria biometria_saude; padrões: face_hash,obrigatória com chave gerenciada e segregação de acesso,não exibir sem finalidade e autorização reforçada,"definir por obrigação legal, finalidade clínica e consentimento",existente,database/postgres/migrations/001_identity_and_schemas.sql:86
postgresql,identity,biometrics,provider_reference,Provider reference,TEXT,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:87
postgresql,identity,biometrics,last_liveness_score,Last liveness score,"NUMERIC(5, 4)",True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:88
postgresql,identity,biometrics,consent_recorded_at,Consent recorded at,TIMESTAMPTZ,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:89
postgresql,identity,biometrics,status,Status,VARCHAR(40),False,'pending_validation',False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:90
postgresql,identity,biometrics,metadata,Metadata,JSONB,False,'{}'::jsonb,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:91
postgresql,identity,biometrics,created_at,Created at,TIMESTAMPTZ,False,NOW(),False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:92
postgresql,identity,biometrics,updated_at,Updated at,TIMESTAMPTZ,False,NOW(),False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:93
postgresql,identity,biometrics,deleted_at,Deleted at,TIMESTAMPTZ,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:94
postgresql,identity,biometrics,created_by,Created by,UUID,True,,False,False,identity.users.id,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: created_by,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,existente,database/postgres/migrations/001_identity_and_schemas.sql:95
postgresql,identity,biometrics,updated_by,Updated by,UUID,True,,False,False,identity.users.id,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: updated_by,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,existente,database/postgres/migrations/001_identity_and_schemas.sql:96
postgresql,identity,biometrics,idempotency_key,Idempotency key,VARCHAR(100),True,,False,True,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/008_identity_idempotency.sql:5
postgresql,identity,mfa_devices,id,Id,UUID,False,gen_random_uuid(),True,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:100
postgresql,identity,mfa_devices,user_id,User id,UUID,False,,False,False,identity.users.id,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: user_id,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,existente,database/postgres/migrations/001_identity_and_schemas.sql:101
postgresql,identity,mfa_devices,method,Method,VARCHAR(30),False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:102
postgresql,identity,mfa_devices,secret_reference,Secret reference,TEXT,False,,False,False,,restrito,política v1 categoria credencial_segredo; padrões: secret,obrigatória em trânsito e repouso; preferir hash não reversível quando aplicável,nunca retornar valor integral nem registrar em logs,mínima necessária; revogação e expurgo definidos por política de segurança,existente,database/postgres/migrations/001_identity_and_schemas.sql:103
postgresql,identity,mfa_devices,verified_at,Verified at,TIMESTAMPTZ,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:104
postgresql,identity,mfa_devices,status,Status,VARCHAR(40),False,'pending_validation',False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:105
postgresql,identity,mfa_devices,metadata,Metadata,JSONB,False,'{}'::jsonb,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:106
postgresql,identity,mfa_devices,created_at,Created at,TIMESTAMPTZ,False,NOW(),False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:107
postgresql,identity,mfa_devices,updated_at,Updated at,TIMESTAMPTZ,False,NOW(),False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:108
postgresql,identity,mfa_devices,deleted_at,Deleted at,TIMESTAMPTZ,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:109
postgresql,identity,mfa_devices,created_by,Created by,UUID,True,,False,False,identity.users.id,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: created_by,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,existente,database/postgres/migrations/001_identity_and_schemas.sql:110
postgresql,identity,mfa_devices,updated_by,Updated by,UUID,True,,False,False,identity.users.id,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: updated_by,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,existente,database/postgres/migrations/001_identity_and_schemas.sql:111
postgresql,identity,mfa_devices,idempotency_key,Idempotency key,VARCHAR(100),True,,False,True,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/008_identity_idempotency.sql:6
postgresql,identity,sessions,id,Id,UUID,False,gen_random_uuid(),True,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:115
postgresql,identity,sessions,user_id,User id,UUID,False,,False,False,identity.users.id,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: user_id,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,existente,database/postgres/migrations/001_identity_and_schemas.sql:116
postgresql,identity,sessions,token_hash,Token hash,TEXT,False,,False,True,,restrito,política v1 categoria credencial_segredo; padrões: token,obrigatória em trânsito e repouso; preferir hash não reversível quando aplicável,nunca retornar valor integral nem registrar em logs,mínima necessária; revogação e expurgo definidos por política de segurança,existente,database/postgres/migrations/001_identity_and_schemas.sql:117
postgresql,identity,sessions,device_fingerprint,Device fingerprint,TEXT,False,,False,False,,dado pessoal,política v1 categoria contato_localizacao; padrões: device,criptografar quando associado a pessoa identificada ou rastreamento,"mascarar em logs, listagens e exportações não autorizadas",limitar à finalidade operacional e consentimento aplicável,existente,database/postgres/migrations/001_identity_and_schemas.sql:118
postgresql,identity,sessions,ip_address,Ip address,INET,False,,False,False,,dado pessoal,"política v1 categoria contato_localizacao; padrões: address, ip_address",criptografar quando associado a pessoa identificada ou rastreamento,"mascarar em logs, listagens e exportações não autorizadas",limitar à finalidade operacional e consentimento aplicável,existente,database/postgres/migrations/001_identity_and_schemas.sql:119
postgresql,identity,sessions,user_agent,User agent,TEXT,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:120
postgresql,identity,sessions,expires_at,Expires at,TIMESTAMPTZ,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:121
postgresql,identity,sessions,revoked_at,Revoked at,TIMESTAMPTZ,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:122
postgresql,identity,sessions,status,Status,VARCHAR(40),False,'active',False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:123
postgresql,identity,sessions,metadata,Metadata,JSONB,False,'{}'::jsonb,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:124
postgresql,identity,sessions,created_at,Created at,TIMESTAMPTZ,False,NOW(),False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:125
postgresql,identity,sessions,updated_at,Updated at,TIMESTAMPTZ,False,NOW(),False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:126
postgresql,identity,sessions,deleted_at,Deleted at,TIMESTAMPTZ,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:127
postgresql,identity,sessions,created_by,Created by,UUID,True,,False,False,identity.users.id,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: created_by,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,existente,database/postgres/migrations/001_identity_and_schemas.sql:128
postgresql,identity,sessions,updated_by,Updated by,UUID,True,,False,False,identity.users.id,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: updated_by,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,existente,database/postgres/migrations/001_identity_and_schemas.sql:129
postgresql,identity,sessions,idempotency_key,Idempotency key,VARCHAR(100),True,,False,True,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/008_identity_idempotency.sql:7
postgresql,identity,identity_verifications,id,Id,UUID,False,gen_random_uuid(),True,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:133
postgresql,identity,identity_verifications,user_id,User id,UUID,False,,False,False,identity.users.id,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: user_id,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,existente,database/postgres/migrations/001_identity_and_schemas.sql:134
postgresql,identity,identity_verifications,verification_type,Verification type,VARCHAR(50),False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:135
postgresql,identity,identity_verifications,risk_score,Risk score,"NUMERIC(5, 4)",True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:136
postgresql,identity,identity_verifications,reviewer_user_id,Reviewer user id,UUID,True,,False,False,identity.users.id,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: user_id,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,existente,database/postgres/migrations/001_identity_and_schemas.sql:137
postgresql,identity,identity_verifications,decision_reason,Decision reason,TEXT,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:138
postgresql,identity,identity_verifications,status,Status,VARCHAR(40),False,'pending_review',False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:139
postgresql,identity,identity_verifications,metadata,Metadata,JSONB,False,'{}'::jsonb,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:140
postgresql,identity,identity_verifications,created_at,Created at,TIMESTAMPTZ,False,NOW(),False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:141
